c17079	Cc1ncc(COP(=O)(O)O)c(C=O)c1O
c19557	Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2
c16180	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
c17104	N[C@@H](Cc1ccccc1)C(=O)O
c19559	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
c10042	C[N+](C)(C)CCO
c19560	N=C(N)NCCC[C@H](N)C(=O)O
c16652	O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
c17823	NCCCNCCCCNCCCN
c17105	N[C@@H](Cc1ccc(O)cc1)C(=O)O
c17249	C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
c16341	N[C@@H](CCC(=O)O)C(=O)O
c3444	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
c19564	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC
c16210	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O
c19566	CC(C)C[C@H](N)C(=O)O
c16211	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
c17103	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
c15809	NC(=O)NCCC[C@H](N)C(=O)O
c19567	NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
c16653	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
c16590	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
c19569	Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
c19571	CC[C@H](C)[C@H](N)C(=O)O
c19572	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O
c16973	C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C
c16769	CC1=CC(=O)c2ccccc2C1=O
c16330	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
c16664	Nc1ncnc2nc[nH]c12
c16770	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
c16265	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
c16810	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
c19573	C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1
c16703	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
c17340	NCC(CC(=O)O)c1ccc(Cl)cc1
c17159	CC(N)Cc1ccccc1
c16198	CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
c16419	CN1CCC[C@H]1c1cccnc1
c19574	CC1O[C@@]2(CS1)CN1CCC2CC1
c17505	O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
c16223	COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
c16412	C#CC(O)(/C=C/Cl)CC
c16995	CC(C)(N)Cc1ccccc1
c16722	CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
c19575	COc1cccc(C2(O)CCCCC2CN(C)C)c1
c17548	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
c16224	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
c17473	OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
c17050	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
c16387	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
